Nombre,Grupo,Perfil,Habilitado,Acción,Invalidar,Programa,Dirección local,Dirección remota,Protocolo,Puerto local,Puerto remoto,Usuarios permitidos,Equipos permitidos,,,,,,,,,,,,,,,,
AAct_Network,,Todo,Sí,Permitir,No,C:\DESCARGAS  respaldo\KMS Tools Portable\KMS Tools Portable\Programs\AAct Network v1.1.5 Portable\AAct_Network_x64.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
adskflex daemon,,Privado, Público,Sí,Permitir,No,C:\autodesk\network license manager\adskflex.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
adskflex daemon,,Privado, Público,Sí,Permitir,No,C:\autodesk\network license manager\adskflex.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
BOOTP/DHCP Server,,Privado,Sí,Permitir,No,C:\program files (x86)\rockwell software\bootp-dhcp server\bootpserver.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
BOOTP/DHCP Server,,Privado,Sí,Permitir,No,C:\program files (x86)\rockwell software\bootp-dhcp server\bootpserver.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
broker.exe,,Privado,Sí,Permitir,No,C:\users\carlos\appdata\local\temp\xamarin\xma\local\broker\adf038ea\broker.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
broker.exe,,Privado,Sí,Permitir,No,C:\users\carlos\appdata\local\temp\xamarin\xma\local\broker\adf038ea\broker.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Crash Time 2,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\steamapps\common\Crash Time II\BurningWheels.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Crash Time 2,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\steamapps\common\Crash Time II\BurningWheels.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
democreator,,Todo,Sí,Proteger (sin encapsulación),No,C:\Program Files\Wondershare\Wondershare DemoCreator 8\DemoCreator Recorder.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
democreator,,Todo,Sí,Proteger (sin encapsulación),No,C:\Program Files\Wondershare\Wondershare DemoCreator 8\DemoCreator Core UX Service.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
democreator,,Todo,Sí,Proteger (sin encapsulación),No,C:\Program Files\Wondershare\Wondershare DemoCreator 8\DemoCreator Wsid Service.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
democreator,,Todo,Sí,Proteger (sin encapsulación),No,C:\Program Files\Wondershare\Wondershare DemoCreator 8\DemoCreator.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
democreator,,Todo,Sí,Proteger (sin encapsulación),No,C:\Program Files\Wondershare\Wondershare DemoCreator 8\DomainNameChecker.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
DXP,,Privado, Público,Sí,Permitir,No,D:\program files (x86)\altium\ad17\dxp.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
DXP,,Privado, Público,Sí,Permitir,No,D:\program files (x86)\altium\ad17\dxp.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Evented I/O for V8 JavaScript,,Todo,Sí,Permitir,No,C:\Program Files\Autodesk\Desktop Connect\forever\node.exe,Cualquiera,Subred local,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Firefox (C:\Program Files\Mozilla Firefox),,Privado,Sí,Permitir,No,C:\Program Files\Mozilla Firefox\firefox.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Firefox (C:\Program Files\Mozilla Firefox),,Privado,Sí,Permitir,No,C:\Program Files\Mozilla Firefox\firefox.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
